season,round,date,name,venue,heat,phase,gate,rider,points,position,rank
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,12,main,,Fredrik Lindgren,3,1,1
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,12,main,,Bartosz Zmarzlik,2,2,2
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,12,main,,Matej Žagar,1,3,3
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,12,main,,Krzysztof Kasprzak,0,4,4
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,13,main,,Fredrik Lindgren,3,1,1
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,13,main,,Maciej Janowski,2,2,2
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,13,main,,Tai Woffinden,1,3,3
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,13,main,,Artiom Łaguta,0,4,4
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,14,main,,Bartosz Zmarzlik,3,1,1
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,14,main,,Max Fricke,2,2,2
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,14,main,,Anders Thomsen,1,3,3
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,14,main,,Jason Doyle,0,4,4
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,15,main,,Martin Vaculik,3,1,1
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,15,main,,Robert Lambert,2,2,2
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,15,main,,Krzysztof Kasprzak,1,3,3
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,15,main,,Oliver Berntzon,0,4,4
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,16,main,,Matej Žagar,3,1,1
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,16,main,,Emil Sajfutdinow,2,2,2
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,16,main,,Leon Madsen,1,3,3
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,16,main,,Jan Kvěch,0,4,4
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,17,main,,Artiom Łaguta,3,1,1
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,17,main,,Max Fricke,2,2,2
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,17,main,,Leon Madsen,1,3,3
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,17,main,,Krzysztof Kasprzak,0,4,4
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,18,main,,Emil Sajfutdinow,3,1,1
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,18,main,,Fredrik Lindgren,2,2,2
