season,round,date,name,venue,heat,phase,gate,rider,points,position,rank
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,1,main,,Artiom Łaguta,3,1,1
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,1,main,,Tai Woffinden,2,2,2
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,1,main,,Antonio Lindbäck,1,3,3
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,1,main,,Niels Kristian Iversen,0,4,4
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,2,main,,Leon Madsen,3,1,1
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,2,main,,Matej Žagar,2,2,2
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,2,main,,Mikkel Michelsen,1,3,3
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,2,main,,Max Fricke,0,4,4
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,3,main,,Maciej Janowski,3,1,1
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,3,main,,Bartosz Zmarzlik,2,2,2
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,3,main,,Patryk Dudek,1,3,3
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,3,main,,Jason Doyle,0,4,4
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,4,main,,Emil Sajfutdinow,3,1,1
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,4,main,,Martin Vaculik,2,2,2
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,4,main,,Fredrik Lindgren,1,3,3
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,4,main,,Przemysław Liszka,0,4,4
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,4,main,,Gleb Chugunov,,t,5
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,5,main,,Bartosz Zmarzlik,3,1,1
