season,round,date,name,venue,heat,phase,gate,rider,points,position,rank
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,5,main,,Martin Vaculik,2,2,2
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,5,main,,Mikkel Michelsen,1,3,3
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,5,main,,Niels Kristian Iversen,0,4,4
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,6,main,,Tai Woffinden,3,1,1
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,6,main,,Gleb Chugunov,2,2,2
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,6,main,,Max Fricke,1,3,3
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,6,main,,Patryk Dudek,0,4,4
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,7,main,,Artiom Łaguta,3,1,1
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,7,main,,Emil Sajfutdinow,2,2,2
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,7,main,,Jason Doyle,1,3,3
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,7,main,,Matej Žagar,0,4,4
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,8,main,,Leon Madsen,3,1,1
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,8,main,,Maciej Janowski,2,2,2
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,8,main,,Fredrik Lindgren,1,3,3
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,8,main,,Antonio Lindbäck,0,4,4
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,9,main,,Fredrik Lindgren,3,1,1
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,9,main,,Niels Kristian Iversen,2,2,2
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,9,main,,Jason Doyle,1,3,3
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,9,main,,Max Fricke,0,4,4
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,10,main,,Emil Sajfutdinow,3,1,1
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,10,main,,Tai Woffinden,2,2,2
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,10,main,,Maciej Janowski,1,3,3
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,10,main,,Mikkel Michelsen,0,4,4
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,11,main,,Artiom Łaguta,3,1,1
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,11,main,,Leon Madsen,2,2,2
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,11,main,,Gleb Chugunov,1,3,3
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,11,main,,Bartosz Zmarzlik,0,4,4
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,12,main,,Martin Vaculik,3,1,1
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,12,main,,Patryk Dudek,2,2,2
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,12,main,,Matej Žagar,1,3,3
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,12,main,,Antonio Lindbäck,0,4,4
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,13,main,,Maciej Janowski,3,1,1
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,13,main,,Gleb Chugunov,2,2,2
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,13,main,,Matej Žagar,1,3,3
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,13,main,,Niels Kristian Iversen,0,4,4
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,14,main,,Martin Vaculik,3,1,1
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,14,main,,Tai Woffinden,2,2,2
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,14,main,,Leon Madsen,1,3,3
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,14,main,,Jason Doyle,0,4,4
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,15,main,,Artiom Łaguta,3,1,1
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,15,main,,Fredrik Lindgren,2,2,2
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,15,main,,Mikkel Michelsen,1,3,3
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,15,main,,Patryk Dudek,0,4,4
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,16,main,,Emil Sajfutdinow,3,1,1
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,16,main,,Bartosz Zmarzlik,2,2,2
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,16,main,,Max Fricke,1,3,3
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,16,main,,Antonio Lindbäck,0,4,4
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,17,main,,Leon Madsen,3,1,1
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,17,main,,Patryk Dudek,2,2,2
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,17,main,,Niels Kristian Iversen,1,3,3
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,17,main,,Emil Sajfutdinow,0,4,4
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,18,main,,Bartosz Zmarzlik,3,1,1
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,18,main,,Matej Žagar,2,2,2
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,18,main,,Tai Woffinden,1,3,3
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,18,main,,Fredrik Lindgren,0,x,4
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,19,main,,Maciej Janowski,3,1,1
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,19,main,,Artiom Łaguta,2,2,2
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,19,main,,Martin Vaculik,1,3,3
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,19,main,,Max Fricke,0,4,4
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,20,main,,Jason Doyle,3,1,1
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,20,main,,Mikkel Michelsen,2,2,2
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,20,main,,Gleb Chugunov,1,3,3
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,20,main,,Antonio Lindbäck,0,4,4
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,21,semi,,Artiom Łaguta,3,1,1
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,21,semi,,Tai Woffinden,2,2,2
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,21,semi,,Bartosz Zmarzlik,1,3,3
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,21,semi,,Emil Sajfutdinow,0,4,4
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,22,semi,,Maciej Janowski,3,1,1
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,22,semi,,Fredrik Lindgren,2,2,2
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,22,semi,,Leon Madsen,1,3,3
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,22,semi,,Martin Vaculik,0,4,4
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,23,final,,Artiom Łaguta,3,1,1
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,23,final,,Maciej Janowski,2,2,2
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,23,final,,Fredrik Lindgren,1,3,3
2020,1,2020-08-28,1. runda Grand Prix - Wrocław,Wrocław,23,final,,Tai Woffinden,0,4,4
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,1,main,,Maciej Janowski,3,1,1
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,1,main,,Jason Doyle,2,2,2
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,1,main,,Martin Vaculik,1,3,3
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,1,main,,Leon Madsen,0,4,4
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,2,main,,Mikkel Michelsen,3,1,1
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,2,main,,Gleb Chugunov,2,2,2
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,2,main,,Niels Kristian Iversen,1,3,3
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,2,main,,Max Fricke,0,4,4
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,3,main,,Fredrik Lindgren,3,1,1
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,3,main,,Patryk Dudek,2,2,2
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,3,main,,Bartosz Zmarzlik,1,3,3
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,3,main,,Antonio Lindbäck,0,4,4
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,4,main,,Artiom Łaguta,3,1,1
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,4,main,,Emil Sajfutdinow,2,2,2
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,4,main,,Tai Woffinden,1,3,3
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,4,main,,Matej Žagar,0,4,4
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,5,main,,Maciej Janowski,3,1,1
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,5,main,,Gleb Chugunov,2,2,2
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,5,main,,Bartosz Zmarzlik,1,3,3
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,5,main,,Artiom Łaguta,0,4,4
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,6,main,,Fredrik Lindgren,3,1,1
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,6,main,,Niels Kristian Iversen,2,2,2
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,6,main,,Leon Madsen,1,3,3
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,6,main,,Emil Sajfutdinow,0,4,4
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,7,main,,Patryk Dudek,3,1,1
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,7,main,,Mikkel Michelsen,2,2,2
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,7,main,,Matej Žagar,1,3,3
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,7,main,,Jason Doyle,0,4,4
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,8,main,,Max Fricke,3,1,1
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,8,main,,Tai Woffinden,2,2,2
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,8,main,,Martin Vaculik,1,3,3
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,8,main,,Antonio Lindbäck,0,4,4
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,9,main,,Niels Kristian Iversen,3,1,1
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,9,main,,Tai Woffinden,2,2,2
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,9,main,,Maciej Janowski,1,3,3
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,9,main,,Patryk Dudek,0,4,4
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,10,main,,Leon Madsen,3,1,1
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,10,main,,Gleb Chugunov,2,2,2
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,10,main,,Matej Žagar,1,3,3
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,10,main,,Antonio Lindbäck,0,4,4
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,11,main,,Bartosz Zmarzlik,3,1,1
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,11,main,,Max Fricke,2,2,2
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,11,main,,Emil Sajfutdinow,1,3,3
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,11,main,,Jason Doyle,0,4,4
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,12,main,,Artiom Łaguta,3,1,1
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,12,main,,Fredrik Lindgren,2,2,2
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,12,main,,Martin Vaculik,1,3,3
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,12,main,,Mikkel Michelsen,0,4,4
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,13,main,,Maciej Janowski,3,1,1
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,13,main,,Mikkel Michelsen,2,2,2
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,13,main,,Antonio Lindbäck,1,3,3
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,13,main,,Emil Sajfutdinow,0,4,4
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,14,main,,Artiom Łaguta,3,1,1
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,14,main,,Leon Madsen,2,2,2
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,14,main,,Max Fricke,1,3,3
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,14,main,,Patryk Dudek,0,4,4
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,15,main,,Tai Woffinden,3,1,1
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,15,main,,Gleb Chugunov,2,2,2
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,15,main,,Fredrik Lindgren,1,3,3
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,15,main,,Jason Doyle,0,4,4
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,16,main,,Bartosz Zmarzlik,3,1,1
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,16,main,,Niels Kristian Iversen,2,2,2
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,16,main,,Matej Žagar,1,3,3
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,16,main,,Martin Vaculik,0,4,4
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,17,main,,Maciej Janowski,3,1,1
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,17,main,,Max Fricke,2,2,2
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,17,main,,Matej Žagar,1,3,3
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,17,main,,Fredrik Lindgren,0,4,4
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,18,main,,Bartosz Zmarzlik,3,1,1
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,18,main,,Tai Woffinden,2,2,2
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,18,main,,Leon Madsen,1,3,3
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,18,main,,Mikkel Michelsen,0,4,4
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,19,main,,Artiom Łaguta,3,1,1
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,19,main,,Niels Kristian Iversen,2,2,2
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,19,main,,Jason Doyle,1,3,3
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,19,main,,Antonio Lindbäck,0,4,4
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,20,main,,Emil Sajfutdinow,3,1,1
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,20,main,,Patryk Dudek,2,2,2
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,20,main,,Martin Vaculik,1,3,3
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,20,main,,Gleb Chugunov,0,x,4
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,21,semi,,Maciej Janowski,3,1,1
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,21,semi,,Fredrik Lindgren,2,2,2
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,21,semi,,Niels Kristian Iversen,1,3,3
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,21,semi,,Max Fricke,0,4,4
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,22,semi,,Tai Woffinden,3,1,1
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,22,semi,,Bartosz Zmarzlik,2,2,2
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,22,semi,,Artiom Łaguta,1,3,3
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,22,semi,,Gleb Chugunov,0,4,4
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,23,final,,Maciej Janowski,3,1,1
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,23,final,,Tai Woffinden,2,2,2
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,23,final,,Bartosz Zmarzlik,1,3,3
2020,2,2020-08-29,2. runda Grand Prix - Wrocław,Wrocław,23,final,,Fredrik Lindgren,0,4,4
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,1,main,,Patryk Dudek,3,1,1
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,1,main,,Matej Žagar,2,2,2
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,1,main,,Anders Thomsen,1,3,3
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,1,main,,Emil Sajfutdinow,0,4,4
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,2,main,,Martin Vaculik,3,1,1
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,2,main,,Maciej Janowski,2,2,2
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,2,main,,Niels Kristian Iversen,1,3,3
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,2,main,,Jason Doyle,0,4,4
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,3,main,,Mikkel Michelsen,3,1,1
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,3,main,,Leon Madsen,2,2,2
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,3,main,,Tai Woffinden,1,3,3
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,3,main,,Artiom Łaguta,0,4,4
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,4,main,,Bartosz Zmarzlik,3,1,1
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,4,main,,Fredrik Lindgren,2,2,2
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,4,main,,Max Fricke,1,3,3
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,4,main,,Antonio Lindbäck,0,4,4
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,5,main,,Bartosz Zmarzlik,3,1,1
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,5,main,,Jason Doyle,2,2,2
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,5,main,,Anders Thomsen,1,3,3
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,5,main,,Artiom Łaguta,0,4,4
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,6,main,,Max Fricke,3,1,1
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,6,main,,Matej Žagar,2,2,2
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,6,main,,Niels Kristian Iversen,1,3,3
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,6,main,,Mikkel Michelsen,0,4,4
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,7,main,,Leon Madsen,3,1,1
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,7,main,,Martin Vaculik,2,2,2
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,7,main,,Antonio Lindbäck,1,3,3
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,7,main,,Patryk Dudek,0,4,4
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,8,main,,Fredrik Lindgren,3,1,1
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,8,main,,Tai Woffinden,2,2,2
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,8,main,,Emil Sajfutdinow,1,3,3
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,8,main,,Maciej Janowski,0,4,4
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,9,main,,Fredrik Lindgren,3,1,1
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,9,main,,Niels Kristian Iversen,2,2,2
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,9,main,,Anders Thomsen,1,3,3
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,9,main,,Leon Madsen,0,4,4
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,10,main,,Tai Woffinden,3,1,1
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,10,main,,Matej Žagar,2,2,2
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,10,main,,Jason Doyle,1,3,3
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,10,main,,Antonio Lindbäck,0,4,4
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,11,main,,Maciej Janowski,3,1,1
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,11,main,,Artiom Łaguta,2,2,2
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,11,main,,Wiktor Jasinski,1,3,3
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,11,main,,Max Fricke,0,4,4
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,11,main,,Patryk Dudek,,x,5
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,12,main,,Bartosz Zmarzlik,3,1,1
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,12,main,,Martin Vaculik,2,2,2
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,12,main,,Emil Sajfutdinow,1,3,3
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,12,main,,Mikkel Michelsen,0,4,4
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,13,main,,Martin Vaculik,3,1,1
2020,3,2020-09-11,3. runda Grand Prix w Gorzowie Wlkp.,Gorzowie Wlkp.,13,main,,Tai Woffinden,2,2,2
